Bryce Ford-Wheaton;NYG
Justin Shorter;BUF
Daylen Baldwin;MIN
Irvin Charles;NYJ
* Long Irvin Charles;NYJ
Dennis Houston;NYG
Kendric Pryor;CIN
Lance McCutcheon;NYJ
* Toy Lance McCutcheon;NYJ
Devon Allen;PHI
Charleston Rambo;PHI
Braylon Sanders;MIA
* Skinwalker Braylon Sanders;MIA
Tarik Black;BAL
Racey McMath;DAL
Dax Milne;WAS
Dez Fitzpatrick;PIT
Tre Nixon;NE
Anthony Schwartz;MIA
Scotty Washington;BAL
Freddie Swain;MIA
Denzel Mims;PIT
* Clone Denzel Mims;PIT
Greg Ward;PHI
Nsimba Webster;CHI
Davion Davis;WAS
* Withered Davion Davis;WAS
Stanley Morgan;CIN
Tyron Billy-Johnson;DAL
* Bad-Ending Tyron Billy-Johnson;DAL
Andy Isabella;BUF
Marcell Ateman;BUF
Matthew Slater;NE
Martavis Bryant;DAL
Lucky Jackson;MIN
* Sigma Lucky Jackson;MIN
Jalen Cropper;DAL
David Durden;DAL
Bryan Thompson;BUF
* Punished Bryan Thompson;BUF
Dylan Drummond;NYG
Cole Beasley;NYG
* Long Cole Beasley;NYG
Sean Ryan;BAL
* Hot Sean Ryan;BAL
Dontay Demus;BAL
* Isekai'd Dontay Demus;BAL
Tyrell Shavers;BUF
* Bargain Bin Tyrell Shavers;BUF
T.J. Luther;NE
Joseph Ngata;PHI
Thyrick Pitts;GB
Shedrick Jackson;CIN
Duece Watts;PIT
* Hot Duece Watts;PIT
Brycen Tremayne;WAS
* Isekai'd Brycen Tremayne;WAS
Malik Knowles;MIN
Thayer Thomas;MIN
* Sigma Thayer Thomas;MIN
Kazmeir Allen;WAS
Mitch Tinsley;WAS
* Bargain Bin Mitch Tinsley;WAS
Grant DuBose;GB
Malik Cunningham;BAL
* Altered Malik Cunningham;BAL
Trent Taylor;CHI
