Denver,null,253,14.88
Minnesota,null,233,13.71
Houston,null,216,12.71
Green Bay,null,210,12.35
Pittsburgh,null,208,12.24
Buffalo,null,199,11.71
Philadelphia,null,189,11.12
LA Chargers,null,183,10.76
Baltimore,null,181,10.65
Detroit,null,175,10.29
LA Rams,null,163,9.59
Tampa Bay,null,162,9.53
Kansas City,null,159,9.35
Washington,null,146,8.59
